repository,repository_name,url,isFork,commits,branches,defaultBranch,releases,contributors,license,watchers,stargazers,forks,size,createdAt,pushedAt,updatedAt,homepage,mainLanguage,totalIssues,openIssues,totalPullRequests,openPullRequests,lastCommit,lastCommitSHA
statsd/statsd,statsd,https://github.com/statsd/statsd.git,false,1035,8,master,0,188,MIT License,456,17059,2001,834,2010-12-30T12:09:50,2023-05-24T03:45:32,2023-05-31T09:44:21,,JavaScript,277,50,464,37,2023-05-11T04:03:15,51d821790c29bc930814fe64a1b28d8fdc1d8237
less/less.js,less.js,https://github.com/less/less.js.git,false,2972,18,master,34,235,Apache License 2.0,665,16928,3471,16405,2010-02-20T05:25:38,2023-05-12T01:21:41,2023-05-18T03:53:42,http://lesscss.org,JavaScript,2801,160,948,19,2023-04-08T04:27:41,4d3189c05175dfd8aab505ec19c7f5724f145295
node-red/node-red,node-red,https://github.com/node-red/node-red.git,false,8010,105,master,128,178,Apache License 2.0,535,16591,3084,43371,2013-09-05T01:30:47,2023-05-01T05:47:52,2023-05-05T05:15:12,http://nodered.org,JavaScript,2165,264,1951,73,2023-04-28T05:47:25,67dd7e30faf1a6fca07f5b745de75f4ad3036ce4
katex/katex,katex,https://github.com/katex/katex.git,false,2117,29,main,73,141,MIT License,282,16590,1125,86557,2013-07-05T09:01:54,2023-04-28T11:47:02,2023-05-01T06:21:11,https://katex.org,JavaScript,1517,337,2071,32,2023-04-28T11:42:19,24533264c92696635232876946de74e54272136b
hubotio/hubot,hubot,https://github.com/hubotio/hubot.git,false,2186,3,master,12,248,MIT License,606,16441,3945,2558,2011-08-27T08:30:59,2023-05-14T04:06:58,2023-05-18T05:00:42,http://hubot.github.com,JavaScript,792,17,778,4,2023-05-13T04:41:14,3c2cb926c31e31f6ac5f0872e2a1ab02d79b291b
ladjs/superagent,superagent,https://github.com/ladjs/superagent.git,false,1860,1,master,83,223,MIT License,228,16321,1344,6235,2011-04-13T02:29:45,2023-05-13T05:25:19,2023-05-18T11:32:35,https://ladjs.github.io/superagent/,JavaScript,1074,167,661,2,2023-02-18T08:58:13,73c7efb5e9a0cf0409da9918d49b89055be29db5
pouchdb/pouchdb,pouchdb,https://github.com/pouchdb/pouchdb.git,false,4918,1548,master,68,358,Apache License 2.0,277,15723,1460,122296,2010-06-10T06:34:24,2023-05-10T02:50:08,2023-05-18T07:41:53,https://pouchdb.com/,JavaScript,4196,43,4410,29,2023-05-09T04:39:16,8896707fbfb0ba0443bb53af08f59b353c88c427
nodemailer/nodemailer,nodemailer,https://github.com/nodemailer/nodemailer.git,false,1020,10,master,0,115,Other,223,15658,1353,10110,2011-01-19T09:17:36,2023-05-29T07:36:22,2023-06-06T05:35:29,http://nodemailer.com/,JavaScript,1319,6,221,0,2023-05-29T07:36:07,551c7b60052ec7dd08291dc844a8af53215e488e
jasmine/jasmine,jasmine,https://github.com/jasmine/jasmine.git,false,2648,12,main,61,211,,443,15548,2273,9968,2008-12-02T11:46:37,2023-05-18T02:02:34,2023-05-31T07:20:43,http://jasmine.github.io/,JavaScript,1389,21,602,2,2023-05-13T10:14:53,d745d6b5f0a8d31f521c4b1cf66a1e5477fa00e5
riot/riot,riot,https://github.com/riot/riot.git,false,3815,4,main,103,172,Other,395,14785,1014,21395,2013-09-27T05:21:01,2023-05-21T08:47:57,2023-05-31T05:45:48,https://riot.js.org,JavaScript,2176,4,764,0,2023-01-23T09:02:16,2b08ebf8c7fa3f338d24b7320ee7f18c36b7ae74
ether/etherpad-lite,etherpad-lite,https://github.com/ether/etherpad-lite.git,false,8041,188,develop,38,257,Apache License 2.0,360,14323,2540,34501,2011-03-26T01:09:02,2023-05-18T11:03:57,2023-05-31T05:46:04,https://etherpad.org,JavaScript,2964,143,2663,34,2023-05-18T11:03:56,e7c8bd5640664ee9994738357dab65830d5ec1a8
hapijs/hapi,hapi,https://github.com/hapijs/hapi.git,false,5738,9,master,13,198,Other,417,14253,1380,17089,2011-08-06T12:35:39,2023-04-24T10:09:36,2023-05-01T07:38:28,https://hapi.dev,JavaScript,3097,40,1329,6,2023-04-24T10:09:20,c674578ef97457cff21a747415bb5920e59f6355
thomaspark/bootswatch,bootswatch,https://github.com/thomaspark/bootswatch.git,false,2216,5,v5,0,87,MIT License,491,14094,3688,79848,2012-02-07T04:31:56,2023-04-17T05:35:49,2023-04-25T07:11:41,https://bootswatch.com,JavaScript,862,36,377,1,2023-04-17T05:35:45,29f2e6610ae21f5a3d1ede4e12baa23ae29d02ca
